"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47"
"Kogia_breviceps",0.0895013265244023,-0.0842086033100873,0.0125457660383019,-0.033518311828328,0.00431406077699083,0.0303466479785408,0.00860292318199893,0.0353189827754354,0.044721196341496,-0.0399246778282711,0.0037393602796006,-0.0196959071130848,-0.0305182398710997,0.0022213169544329,-0.00770869745557851,0.0174653799221169,-0.0190593440307967,-0.00390294621254243,0.0199669812386166,-0.00284383230403475,-3.27438066967916e-05,-0.0110803818785617,-0.0107285688713114,0.00511213331224709,-0.0117650134867371,-0.01567348618645,0.00253650669360299,-0.0124776765099785,-0.000708785248569917,-0.00433521511851161,0.00688983557622976,0.0011997067833663,0.00222890356610439,-0.0054221590361681,0.00489236684625233,-0.00351469249323399,0.00418084358568941,0.000591061679455653,0.000580371873784393,-0.00117385744424841,0.000952034771039308,-0.00157550439955654,-0.000732994845230137,-0.00100821385721223,0.000185777932309899,0.000711391570599357,0.000689335096408722
"Kogia_sima",0.0559289807701304,-0.0679870860180757,0.035894619464164,-0.00712207296994001,-0.0418269784234468,0.0167506732585102,0.0190751206478198,-0.0113514500752878,-0.0182648961872891,-0.0391672967310746,0.00821500704778273,0.00489659887429839,-0.0137756870733451,0.023663138619843,-0.00240462774249504,0.0177778898297534,-0.00569665155361055,0.0248698781717273,-0.0221409219326201,0.00246123244461118,-0.00579480808743387,0.0173379782702346,0.00806648170438244,-0.00975371966978839,0.0111555715865152,0.0214926283622379,-0.0125152642511279,0.00807395505375371,0.0083173425109113,0.00253310016548421,-0.00487532601326922,0.00281573563462288,-0.00500609906221102,0.00672692990882309,0.00384802636499272,-0.00215317611903306,0.00457741173675775,-0.000702716512302938,-0.00121929753689187,-0.000970650092113909,0.00608564823361846,0.00161734040375496,0.00385061488599821,0.000622318136950339,-0.00141429697222953,-0.00257792751179097,0.00147670347682979
"Lagenodelphis_hosei",0.0484357039462899,-0.00210463755008106,-0.0129098788440495,-0.0128546439078263,0.0184675329157413,0.00861945807314732,-0.0155849240933633,-0.0110825982482185,-0.0118880024224449,0.0134311598830369,-0.00969347333483328,-0.00255014893673516,-0.00257321946733227,0.00850209295228705,-0.00323737328833539,0.00146073997800793,-0.00799090697781671,-0.00731889797710342,-0.00497314431309066,0.0149381993471418,0.0191685726069547,-0.00701995979197869,0.00908496960212892,-0.00482240173962944,-0.0166411671217539,0.000490848999285835,-0.00107077398739569,0.00674749523501362,-0.00212645208621305,-0.00400705386478984,-0.0133513474871526,0.00676451130291841,0.0197299505874519,0.00218698154496596,0.000389431381563115,-0.0117137187556964,-0.013472916489217,-0.00368248692679442,-0.00238693470278645,0.00718252421696623,0.00410150425955473,-0.00730872796593883,0.0112841279780903,-0.0114169151931323,-0.00400048108009334,-0.0051736232140088,-0.00214420435431486
"Lagenorhynchus_acutus",0.0410077274812467,0.011401143524566,0.0168760552868412,-0.0077565345740899,-0.0218527410360136,0.0143365040206947,0.0137813946756857,-0.0141356849032005,-0.0121404098343352,-0.0107239845842896,0.00245913416951821,-0.000280045655935789,0.007075935746238,-0.0243101194746866,0.0126519657349713,-0.0133064186727902,0.0261780699918337,-0.000523250379994597,0.0160974509307518,-0.00803177543854982,-0.0121369392310544,-0.000219899313591054,0.0118005462999808,-0.00253161650839376,-0.000146083760340748,0.000371368576928837,-0.00906431938184565,0.0129144345413192,0.00594747905911146,-0.014925587788512,0.0143115223159537,0.00813402540530393,0.00664939824511407,4.66063296653768e-05,0.0108871182502867,-0.0106342897915281,0.00322204293402577,0.0155939272940664,0.00159322166378867,0.00362064989000802,-0.0123735563208789,-0.00456572650245589,-0.00388470396525814,-0.00200866593805569,-0.00274569414260597,-0.000517373769046663,-0.00602230427981711
"Lagenorhynchus_albirostris",0.00683544275113942,-0.00311708548139661,0.0500244362704966,0.0227111828009988,-0.0467674412428523,-0.0455158662971284,-0.0441572996234348,-0.0460643408576013,0.0825664787452683,0.035539930903701,0.033427781819174,-0.00332979714700942,-0.0206317852499854,0.0103968639331335,0.00112103627987381,-0.0106669657788944,-0.00109359875806287,0.00312157823017128,-0.00692132014436077,0.00583066709265275,-0.0046990156654824,0.000600348015730116,0.00626803792612423,-0.00223370454357218,-0.00362524593150586,0.0013720197890911,-0.00142172479848619,0.00143485680113038,-0.00462250855160074,0.000742825548267977,0.00338308609492864,0.000109645787036784,0.000421042183112114,0.00105175120889209,0.00138623551524774,-0.000956149562647052,0.00366827888020163,-0.000264788544567593,0.00122420994836545,0.00131202263284753,-0.0016695863237591,-0.000153930597649394,9.81770445606977e-05,-0.000517716313234179,0.000491563468052461,-0.000496358929030431,-0.000158685500117121
"Lagenorhynchus_australis",0.0221210621468993,-0.0103470775372834,0.0270952991141828,-0.0279263559305073,0.00585932315165781,-0.0293483543547794,0.006513687834458,-0.00789487489337698,-0.0113875621199856,-0.00257249814670872,0.00511237080741027,0.00749108052587998,0.00784229584247583,-0.00486331696572999,0.00340491617077755,0.00807892926630009,0.00299017334684146,-0.00569771099299967,-7.27421841177611e-05,-0.00992602423516519,0.0009085441142626,0.00440725156336083,-0.0115757685433097,0.0142762536108901,-0.00226578196127817,0.00206144112312084,0.00039812145103554,0.00684883040483049,-0.0071245345550804,0.00794338441785522,-0.00875111589363607,0.0084685604178519,-0.0154622963883522,-0.0147197622761628,-0.00769966057551866,-0.00280684177915092,0.00746505329183462,-0.0102082101076378,-0.000288167917545523,0.0185854871523859,0.000404805339846875,-0.0128291146818127,-0.0082363665422804,0.00104975487428615,0.00211574891288142,-0.00532474109455892,-0.00517145332077944
"Lagenorhynchus_cruciger",0.0121782785464206,-0.0162262725530227,0.0163690857958828,-0.0167998739457774,0.0181309716871986,-0.0237802958490577,0.0021443582983211,-0.0160386671985159,-0.0182705663781986,-0.0051873912812359,0.00309437787924755,0.00930268217447743,-0.00998284205549662,-0.00291872404390256,0.000508725279916874,-0.0129258245248026,-0.0105071515614646,-0.0125444535843037,0.0165882641959465,0.00251185468688976,0.0155357235235157,-0.011542510197175,0.00618798026874997,0.00324457857606588,0.00602042836120345,0.00594322457198446,-0.00321359922487639,0.00233325411300426,-0.00248618110160803,0.00183678095950827,0.00659590438521826,-0.00351654107639226,0.00132569687203066,0.00280788708097727,0.00100357802207724,0.0045057345722502,-0.00355261022249845,0.00532364037156894,-0.00656383590758283,-0.00173789968728827,-0.00446819957932504,0.00295381814566268,0.000743527545489647,0.00888816548820421,0.011189965209433,-0.0177983983838854,0.0111927024893488
"Lagenorhynchus_obliquidens",0.0322647366315777,0.00230305750814904,0.00158380443611889,0.0018192682361576,-0.0800436049856787,-0.00143431714671157,-0.0157166281606208,-0.0345382169032851,0.00384752825774423,0.00605430993634926,-0.048577636398729,0.0108217795521905,-0.00928062200013438,-0.0448711202594652,0.0147487866838266,0.0216727887144312,-0.00325350466288042,-0.00839597461103815,0.0168716415377286,-0.00422376038553101,0.00331773017026094,-0.00238149700489353,-0.00750567426781916,0.000626368386946577,0.0134461652749675,-0.00231236616217175,0.00367419705548913,-0.00554662952220767,0.0130771665441722,0.00875260213019581,-0.0079051312094075,-0.00271593410044939,-0.00255083385227697,0.00259035411920956,0.000975720690613392,0.00163503563224383,-0.00931157645387087,-0.00218872569605667,-0.0042072391176188,-0.00267572111475324,0.0060250641573009,0.00216255627238019,-0.000466661340640169,-0.000756392507715472,-0.0022406931423443,0.000555696116277868,-0.00189678429447024
"Lagenorhynchus_obscurus",-0.00645538592801084,0.00513255737683624,0.00679606409858888,0.00193035418693017,-0.00167275871889261,0.00954102301114515,-0.020483793195783,0.00891354873708456,-0.0191579181931005,0.00133531483203566,-0.0205131097203007,0.0261970922532124,-0.0174542177540011,0.00423343520513915,0.000222440258799792,-0.0144981244014668,0.0134591864539915,0.00139879919523199,-0.00789255949195584,-0.00851731275341184,0.00449744206372728,-0.00128267911448157,0.0119636309161631,0.0117317495061669,0.00287257463235544,-0.012289797535201,-0.00347705298749872,-0.00945736456135345,0.00247974559874717,0.000638078736430435,0.0167637747896621,-0.00870340248605232,0.00494353160868385,0.0083853288460593,0.00541645276896466,0.0147643630068311,0.0162224351939818,-0.00911668090248978,0.0103664570012927,0.00527151624320031,0.00800202245756298,-0.00257365998111214,0.00703777765737802,-0.00602116055069612,0.0028293567143266,-0.0038294569498871,-0.00597738517970086
"Lipotes_vexillifer",-0.0153982233760764,0.0419126197032064,0.00810846586229557,0.0154210698695768,-0.0336377373886314,-0.00988912275910321,0.0231616668144516,0.028903741915963,0.000762273655067073,-0.0206589553382408,0.0254817731022829,-0.00357991486736327,-0.00332617382754178,0.0050717052452413,-0.0016018134565741,-0.0211399025193462,-0.00568912838012484,-0.000299381698750469,-0.00655742986094148,-0.00354653987587311,-0.00292730216016518,-0.0104585595338404,-0.00752900914688245,0.0165312084040567,0.0162930476784461,0.0138061292596261,0.032381324481588,-0.000462355050153345,0.00458924305244844,0.00475916398829551,-0.00605824564635359,-0.00887819517219308,0.0118979476552273,0.00605427944509255,0.00236723941960462,-0.00744872255478559,-0.00518804147632276,0.0047105203179653,0.00796423046190107,-0.00026220995030476,0.00377076662798099,-0.00507814636586882,-0.00527457833103642,-0.00339609031879992,0.000851046040760408,-0.00177069510326286,-0.00178581000812822
